;Branch;Tenure;Salary;Department;JobSatisfaction;WorkLifeBalance;CommuteDistance;MaritalStatus;Education;PerformanceRating;TrainingHours;OverTime;NumProjects;YearsSincePromotion;EnvironmentSatisfaction;ChurnLikelihood
0;San Francisco;4,0000;63000;Legal;3;3;Long;Married;High School;3;63,0000;Yes;3;0;2;Highly Likely to Churn'
1;Chicago;14,0000;72000;Accounting;4;4;Short;Single;Bachelor;4;30,0000;Yes;3;2;3;Moderately Likely to Churn
2;Miami;4,0000;44500;Quality Assurance;3;3;Medium;Single;High School;4;63,0000;Yes;3,5;0;4;Highly Likely to Churn'
3;Scranton;2,0000;55000;Legal;3;4;Short;Married;Bachelor;4;30,0000;Yes;4;0;3;Moderately Likely to Churn
4;Scranton;10,0000;55500;Legal;3;3;Medium;Married;Bachelor;3;18,0000;Yes;4;1;3;Moderately Likely to Churn
5;Boston;4,0000;61500;Customer Service;4;4;Long;Married;High School;4;63,0000;Yes;3;0;2;Highly Likely to Churn'
6;Boston;10,0000;82000;Sales;5;3;Medium;Married;Bachelor;4;34,6456;Yes;3;1;3;Moderately Likely to Churn
7;New York;6,0000;59000;Administration;3;4;Short;Divorced;High School;3;40,0000;Yes;3;0;3;Moderately Likely to Churn
8;Philadelphia;10,0000;73500;Facilities Management;4;4;Short;Single;Bachelor;3;18,0000;Yes;2;2;1;Highly Likely to Churn'
9;Chicago;3,0000;62500;Research and Development;5;4;Long;Married;Bachelor;4;34,6456;Yes;4;0;3;Moderately Likely to Churn
10;Scranton;4,0000;44500;Customer Service;3;4;Short;Divorced;High School;4;63,0000;Yes;4;0;3;Moderately Likely to Churn
11;Philadelphia;7,0000;74000;Operations;4;4;Long;Married;Bachelor;3;36,0000;Yes;4;1;3;Moderately Likely to Churn
12;Scranton;10,0000;61000;Sales;2;3;Short;Married;High School;3;63,0000;Yes;3;4;2;Highly Likely to Churn'
13;Scranton;8,0000;54000;Marketing;4;4;Medium;Divorced;High School;3;63,0000;Yes;3,5;1;2;Highly Likely to Churn'
14;Chicago;6,0000;68000;Sales;5;4;Short;Married;High School;3;63,0000;Yes;3;0;2;Highly Likely to Churn'
15;New York;13,0000;71500;Public Relations;4;4;Long;Divorced;Bachelor;3;36,0000;Yes;4;5;2;Highly Likely to Churn'
16;New York;2,0000;76000;Sales;1;4;Short;Married;Master;4;18,0000;Yes;4;0;3;Moderately Likely to Churn
17;Philadelphia;8,0000;69000;Quality Assurance;4;4;Long;Married;Bachelor;3;34,6456;Yes;3;2;2;Highly Likely to Churn'
18;Chicago;3,0000;73000;Research and Development;4;4;Short;Divorced;Master;3;30,0000;Yes;4;0;3;Moderately Likely to Churn
19;Chicago;11,0000;62000;Accounting;4;4;Short;Married;High School;3;40,0000;Yes;4;4;2;Highly Likely to Churn'
20;Los Angeles;6,0000;66000;IT Support;3;4;Short;Single;Bachelor;3;24,0000;Yes;3;0;2;Highly Likely to Churn'
21;Chicago;8,0000;62000;Customer Service;5;4;Short;Married;Bachelor;4;24,0000;Yes;3;0;2;Highly Likely to Churn'
22;Los Angeles;16,0000;67500;Research and Development;4;4;Medium;Married;High School;4;56,0000;Yes;3;5;2;Highly Likely to Churn'
23;Philadelphia;4,0000;63000;IT Support;3;4;Long;Divorced;Bachelor;4;30,0000;Yes;4;0;3;Moderately Likely to Churn
24;Philadelphia;8,0000;74000;Operations;2;4;Medium;Married;Bachelor;4;30,0000;Yes;3;2;2;Highly Likely to Churn'
25;Miami;7,0000;55000;Research and Development;4;4;Short;Divorced;Bachelor;4;24,0000;Yes;3;1;2;Highly Likely to Churn'
26;Seattle;6,0000;64000;Accounting;4;4;Medium;Married;Bachelor;3;17,7921;Yes;4;0;3;Highly Likely to Churn'
27;Unknown;14,0000;70500;Quality Assurance;4;4;Long;Married;Bachelor;4;18,0000;Yes;3;2;3;Moderately Likely to Churn
28;Atlanta;4,0000;58000;Procurement;3;4;Long;Married;Bachelor;4;18,0000;Yes;3;0;2;Highly Likely to Churn'
29;Los Angeles;4,0000;65000;Legal;2;3;Medium;Married;Master;4;34,6456;Yes;3;0;2;Highly Likely to Churn'
30;Scranton;3,0000;44500;Quality Assurance;3;4;Medium;Divorced;High School;3;56,0000;Yes;4;0;3;Moderately Likely to Churn
31;San Francisco;4,0000;73500;Legal;3;4;Medium;Divorced;Bachelor;3;18,0000;Yes;3,5;0;3;Moderately Likely to Churn
32;Atlanta;10,0000;74000;Accounting;5;4;Short;Divorced;High School;4;48,0000;Yes;3;2;2;Highly Likely to Churn'
33;Boston;13,0000;81500;Product Management;3;4;Long;Married;Bachelor;4;30,0000;Yes;4;5;3;Moderately Likely to Churn
34;Los Angeles;17,0000;70000;Research and Development;2;3;Short;Divorced;Bachelor;4;6,0000;Yes;3;0;2;Highly Likely to Churn'
35;Chicago;3,0000;63000;Sales;5;4;Short;Single;Bachelor;4;36,0000;Yes;4;0;2;Highly Likely to Churn'
36;Boston;3,0000;60000;Marketing;1;4;Long;Married;Bachelor;3;36,0000;Yes;4;0;3;Moderately Likely to Churn
37;Boston;3,0000;70000;Research and Development;3;3;Short;Single;Bachelor;3;6,0000;Yes;4;0;3;Moderately Likely to Churn
