EmployeeID,Branch,Tenure,Salary,Department,JobSatisfaction,WorkLifeBalance,CommuteDistance,MaritalStatus,Education,PerformanceRating,TrainingHours,OverTime,NumProjects,YearsSincePromotion,EnvironmentSatisfaction,ChurnLikelihood
1,San Francisco,4.0,63000.0,Legal,3.0,3.0,Long,Married,High School,3.0,88.0,True,3.0,0.0,2.0,Highly Likely to Churn
2,Chicago,14.0,72000.0,Accounting,4.0,4.0,Short,Single,Bachelor,3.6666666666666665,30.0,True,3.0,2.0,3.0,Moderately Likely to Churn
3,Miami,4.0,40000.0,Quality Assurance,3.0,3.0,Medium,Single,High School,3.6666666666666665,64.0,,,0.0,4.0,Highly Likely to Churn
4,Scranton,2.0,55000.0,Legal,3.0,3.5,Short,Married,Bachelor,3.6666666666666665,30.0,True,4.0,0.0,3.0,Moderately Likely to Churn
5,Scranton,10.0,55500.0,Legal,3.0,3.0,Medium,Married,Bachelor,3.3333333333333335,18.0,,4.0,1.0,3.0,Moderately Likely to Churn
6,Boston,4.0,61500.0,Customer Service,4.0,3.5,Long,Married,High School,3.6666666666666665,72.0,True,3.0,0.0,2.0,Highly Likely to Churn
7,Boston,10.0,82000.0,Sales,5.0,3.0,Medium,Married,Bachelor,3.6666666666666665,,True,3.0,1.0,3.0,Moderately Likely to Churn
8,New York,6.0,59000.0,Administration,3.0,3.5,Short,Divorced,High School,3.3333333333333335,40.0,True,3.0,0.0,3.0,Moderately Likely to Churn
9,Philadelphia,10.0,73500.0,Facilities Management,4.0,,Short,Single,Bachelor,3.3333333333333335,18.0,True,2.0,2.0,1.0,Highly Likely to Churn
10,Chicago,3.0,62500.0,Research and Development,5.0,4.0,Long,Married,Bachelor,3.6666666666666665,,True,4.0,0.0,3.0,Moderately Likely to Churn
11,Scranton,4.0,43000.0,Customer Service,3.0,3.5,Short,Divorced,High School,3.6666666666666665,80.0,True,4.0,0.0,3.0,Moderately Likely to Churn
12,Philadelphia,7.0,74000.0,Operations,4.0,3.5,Long,Married,Bachelor,3.3333333333333335,36.0,True,4.0,1.0,3.0,Moderately Likely to Churn
13,Scranton,10.0,61000.0,Sales,2.0,3.0,Short,Married,High School,3.3333333333333335,88.0,True,3.0,4.0,2.0,Highly Likely to Churn
14,Scranton,8.0,54000.0,Marketing,4.0,3.5,Medium,Divorced,High School,3.3333333333333335,80.0,True,,1.0,2.0,Highly Likely to Churn
15,Chicago,6.0,68000.0,Sales,5.0,4.0,Short,Married,High School,3.3333333333333335,64.0,True,3.0,0.0,2.0,Highly Likely to Churn
16,New York,13.0,71500.0,Public Relations,4.0,4.0,Long,Divorced,Bachelor,3.0,36.0,True,4.0,7.0,2.0,Highly Likely to Churn
17,New York,2.0,76000.0,Sales,1.0,3.5,Short,Married,Master,3.6666666666666665,18.0,True,4.0,0.0,3.0,Moderately Likely to Churn
18,Philadelphia,8.0,69000.0,Quality Assurance,4.0,4.036633713584579,Long,Married,Bachelor,3.14297977302147,,True,2.818418044690876,2.0,2.2253888788695644,Highly Likely to Churn
19,Chicago,3.0,73000.0,Research and Development,4.0,3.5,Short,Divorced,Master,3.3333333333333335,30.0,True,4.0,0.0,3.0,Moderately Likely to Churn
20,Chicago,11.0,62000.0,Accounting,4.0,3.5,Short,Married,High School,3.0,40.0,,4.0,4.0,2.0,Highly Likely to Churn
21,Los Angeles,6.0,66000.0,IT Support,3.0,3.5,Short,Single,Bachelor,3.0,24.0,True,3.0,0.0,2.0,Highly Likely to Churn
22,Chicago,8.0,62000.0,Customer Service,5.0,4.0,Short,Married,Bachelor,3.6666666666666665,24.0,True,3.0,0.0,2.0,Highly Likely to Churn
